ds,y
2018-04-03,17942
2018-04-04,19533
2018-04-05,21554
2018-04-06,20275
2018-04-07,18885
2018-04-08,15278
2018-04-09,16783
2018-04-10,15541
2018-04-11,15519
2018-04-12,14411
2018-04-13,16123
2018-04-14,13920
2018-04-15,13001
2018-04-16,13815
2018-04-17,13346
2018-04-18,12583
2018-04-19,13720
2018-04-20,16244
2018-04-21,16132
2018-04-22,14556
2018-04-23,16601
2018-04-24,17655
2018-04-25,17863
2018-04-26,18145
2018-04-27,19068
2018-04-28,16286
2018-04-29,14070
2018-04-30,15885
2018-05-01,15598
2018-05-02,15448
2018-05-03,16624
2018-05-04,20426
2018-05-05,20330
2018-05-06,18180
2018-05-07,17390
2018-05-08,16208
2018-05-09,17276
2018-05-10,16669
2018-05-11,16705
2018-05-12,14288
2018-05-13,14459
2018-05-14,14438
2018-05-15,13333
2018-05-16,14698
2018-05-17,14423
2018-05-18,14823
2018-05-19,15689
2018-05-20,15601
2018-05-21,16309
2018-05-22,16925
2018-05-23,17990
2018-05-24,19329
2018-05-25,20040
2018-05-26,18170
2018-05-27,17199
2018-05-28,17154
2018-05-29,16411
2018-05-30,17955
2018-05-31,19343
2018-06-01,19962
2018-06-02,19086
2018-06-03,19157
2018-06-04,19095
2018-06-05,20202
2018-06-06,19323
2018-06-07,19682
2018-06-08,20615
2018-06-09,20048
2018-06-10,16939
2018-06-11,16995
2018-06-12,15918
2018-06-13,16314
2018-06-14,16121
2018-06-15,16966
2018-06-16,17757
2018-06-17,14906
2018-06-18,14414
2018-06-19,15579
2018-06-20,16984
2018-06-21,18866
2018-06-22,19801
2018-06-23,19723
2018-06-24,19053
2018-06-25,18982
2018-06-26,18431
2018-06-27,19691
2018-06-28,19481
2018-06-29,19712
2018-06-30,20062
2018-07-01,20578
2018-07-02,17545
2018-07-03,19531
2018-07-04,20081
2018-07-05,22378
2018-07-06,22223
2018-07-07,21305
2018-07-08,18795
2018-07-09,19922
2018-07-10,18536
2018-07-11,17575
2018-07-12,16432
2018-07-13,19443
2018-07-14,18205
2018-07-15,14771
2018-07-16,16352
2018-07-17,15329
2018-07-18,14431
2018-07-19,16405
2018-07-20,18838
2018-07-21,19479
2018-07-22,17415
2018-07-23,19482
2018-07-24,20580
2018-07-25,20174
2018-07-26,20410
2018-07-27,22560
2018-07-28,20779
2018-07-29,18342
2018-07-30,20227
2018-07-31,21498
2018-08-01,22047
2018-08-02,20694
2018-08-03,23994
2018-08-04,24149
2018-08-05,23849
2018-08-06,21449
2018-08-07,21400
2018-08-08,20041
2018-08-09,21641
2018-08-10,21425
2018-08-11,19290
2018-08-12,16313
2018-08-13,17345
2018-08-14,16347
2018-08-15,15440
2018-08-16,16913
2018-08-17,16864
2018-08-18,15236
2018-08-19,15216
2018-08-20,16229
2018-08-21,17115
2018-08-22,16634
2018-08-23,17504
2018-08-24,19915
2018-08-25,18776
2018-08-26,15898
2018-08-27,17112
2018-08-28,15985
2018-08-29,15970
2018-08-30,17762
2018-08-31,20010
2018-09-01,17765
2018-09-02,16760
2018-09-03,15964
2018-09-04,18127
2018-09-05,17313
2018-09-06,17901
2018-09-07,19376
2018-09-08,16986
2018-09-09,15326
2018-09-10,15095
2018-09-11,14867
2018-09-12,12911
2018-09-13,13908
2018-09-14,14310
2018-09-15,12476
2018-09-16,12114
2018-09-17,11996
2018-09-18,10938
2018-09-19,12319
2018-09-20,13601
2018-09-21,15870
2018-09-22,14567
2018-09-23,13415
2018-09-24,15070
2018-09-25,14157
2018-09-26,13421
2018-09-27,14726
2018-09-28,15405
2018-09-29,13472
2018-09-30,12202
2018-10-01,12703
2018-10-02,11825
2018-10-03,12923
2018-10-04,14438
2018-10-05,16600
2018-10-06,14145
2018-10-07,14220
2018-10-08,11627
2018-10-09,13970
2018-10-10,13014
2018-10-11,12016
2018-10-12,11819
2018-10-13,11698
2018-10-14,11398
2018-10-15,11673
2018-10-16,11908
2018-10-17,11572
2018-10-18,10301
2018-10-19,11976
2018-10-20,12416
2018-10-21,11819
2018-10-22,12427
2018-10-23,13046
2018-10-24,14205
2018-10-25,14173
2018-10-26,14796
2018-10-27,14938
2018-10-28,12915
2018-10-29,13222
2018-10-30,14326
2018-10-31,15531
2018-11-01,15000
2018-11-02,14698
2018-11-03,14612
2018-11-04,15620
2018-11-05,16162
2018-11-06,15218
2018-11-07,14939
2018-11-08,14434
2018-11-09,16439
2018-11-10,12724
2018-11-11,13187
2018-11-12,10243
2018-11-13,12265
2018-11-14,10553
2018-11-15,10401
2018-11-16,11396
2018-11-17,10884
2018-11-18,9171
2018-11-19,10334
2018-11-20,11712
2018-11-21,12687
2018-11-22,11694
2018-11-23,13622

